feature
T2M_MAX_REWMA_90_season_max
T2M_MIN_EWMA_2_season_min
T2M_MIN_REWMA_2_season_min
T2M_MIN_EWMA_3_season_min
T2M_MIN_REWMA_3_season_min
T2M_MIN_EWMA_4_season_min
T2M_MIN_REWMA_4_season_min
T2M_MIN_EWMA_5_season_min
T2M_MIN_REWMA_5_season_min
T2M_MIN_EWMA_6_season_min
T2M_MIN_REWMA_6_season_min
T2M_MIN_EWMA_7_season_min
T2M_MIN_REWMA_7_season_min
T2M_MIN_EWMA_10_season_min
T2M_MIN_REWMA_10_season_min
T2M_MIN_EWMA_14_season_min
T2M_MIN_REWMA_14_season_min
T2M_MIN_EWMA_21_season_min
T2M_MIN_REWMA_21_season_min
T2M_MIN_EWMA_30_season_min
T2M_MIN_REWMA_30_season_min
T2M_MIN_EWMA_45_season_min
T2M_MIN_REWMA_45_season_min
T2M_MIN_EWMA_60_season_min
T2M_MIN_REWMA_60_season_min
T2M_MIN_EWMA_90_season_min
T2M_MIN_REWMA_90_season_min
Cultivar.Aromella
Cultivar.Cabernet_Franc
Cultivar.Cabernet_Sauvignon
Cultivar.Cayuga_White
Cultivar.Chambourcin
Cultivar.Chancellor
Cultivar.Chardonnay
Cultivar.Chenin_blanc
Cultivar.Concord
Cultivar.Corot_noir
Cultivar.Gewurztraminer
Cultivar.Gruner_Veltliner
Cultivar.La_Crescent
Cultivar.Lemberger
Cultivar.Malbec
Cultivar.Marechal_Foch
Cultivar.Marquette
Cultivar.Merlot
Cultivar.Niagara
Cultivar.Noiret
Cultivar.Pinot_blanc
Cultivar.Pinot_gris
Cultivar.Pinot_noir
Cultivar.Riesling
Cultivar.Sangiovese
Cultivar.Saperavi
Cultivar.Sauvignon_blanc
Cultivar.St_Croix
Cultivar.Syrah
Cultivar.Tempranillo
Cultivar.Tocai_Fruliano
Cultivar.Traminette
Cultivar.Valvin_Muscat
Cultivar.Vidal
Cultivar.Vignoles
Cultivar.Viognier
Cultivar.Zinfandel
Cultivar.Brianna
Cultivar.Frontenac
Cultivar.Petite_Pearl
Cultivar.Frontenac_blanc
Cultivar.Frontenac_gris
Cultivar.Seyval
Cultivar.St_Pepin
Cultivar.L.Acadie
Cultivar.Aravelle
Cultivar.Aurora
Cultivar.Caminante_blanc
Cultivar.Delaware
Cultivar.Elvira
Cultivar.Fleurtai
Cultivar.Ives
Cultivar.Soreli
Cultivar.Vincent
Cultivar.NY_Muscat
Cultivar.Refosco
Cultivar.Teroldego
Cultivar.Clarion
Cultivar.Crimson_Pearl
Cultivar.Gamaret
Cultivar.Gamay_noir
Cultivar.Itasca
Cultivar.Marsanne
Cultivar.NY06
Cultivar.Petit_Meunier
Cultivar.Petit_Verdot
Cultivar.Regent
Cultivar.Rkatsiteli
Cultivar.Verona
